site	product_id	variant_id	old_price	quantity	isbn10	condition	download_time	basic_price
ST	11731366671	47625637455	304.91	6	1489998365	new	20191002	
ST	11731366671	47732880143	105.41	7	1461442400	new	20191002	
ST	11731366671	47833586959	303.63	3	1489998365	used	20191002	
ST	11731378191	47625677071	28.59	6	331900851X	new	20191002	
ST	11731378191	48056282959	28.59	5	331900851X	used	20191002	
ST	11809262927	47990292623	263.26	6	3319376233	new	20191002	
ST	11809262927	48056385103	264.14	3	3319376233	used	20191002	
ST	11742418959	47687253263	122.93	6	3642243894	new	20191002	
ST	11742418959	48420545103	117.81	4	3642243894	used	20191002	
ST	11728144655	47605496271	51.18	7	1849054657	new	20191002	
ST	11728144655	47820313295	37.42	4	1849054657	used	20191002	
ST	11721150927	47544490255	94.85	6	3639313623	new	20191002	
ST	11721150927	47807302927	94.85	3	3639313623	used	20191002	
ST	11727300239	47598352527	189.34	5	3642624065	new	20191002	
ST	11727300239	47815392911	189.34	6	3642624065	used	20191002	
ST	11735325647	47649101647	32.99	5	1483925765	new	20191002	
ST	11735325647	47850167567	32.99	6	1483925765	used	20191002	
ST	11822783183	48034040655	66.1	4	0415736455	new	20191002	
ST	11822783183	48075245455	32.53	5	0415736455	used	20191002	
ST	11822783183	48034040719	169.78	3	0415736447	new	20191002	
ST	11822783183	48059859791	159.14	6	0415736447	used	20191002	
ST	11739610575	47672329807	319.97	7	3642624073	new	20191002	
ST	11739610575	47857313743	319.97	4	3642624073	used	20191002	
ST	11735399695	47649415055	93.47	5	3639232690	new	20191002	
ST	11735399695	47850328399	93.47	7	3639232690	used	20191002	
ST	11726578895	47591894543	95.18	5	3639247639	new	20191002	
ST	11726578895	47810496847	95.18	3	3639247639	used	20191002	
ST	11729365135	47615054479	84.78	3	1138239852	new	20191002	
ST	11729365135	47827037583	84.78	3	1138239852	used	20191002	
ST	11728850063	47609209231	131.89	7	1138850403	new	20191002	
ST	11728850063	47825286735	131.89	4	1138850403	used	20191002	
ST	11726582095	47591931279	112.08	4	3639309022	new	20191002	
ST	11726582095	47810509519	112.08	4	3639309022	used	20191002	
